x,y,species cloglog values
520.0,520.0,0.048787203
521.0,521.0,0.02287462
522.0,522.0,0.040792603
523.0,523.0,0.034902733
524.0,524.0,0.04682223
525.0,525.0,0.023050362
526.0,526.0,0.19777949
527.0,527.0,0.093105346
528.0,528.0,0.019880341
529.0,529.0,0.02639697
530.0,530.0,0.04341079
531.0,531.0,0.08347323
532.0,532.0,0.014841782
533.0,533.0,0.009289094
534.0,534.0,0.04839183
535.0,535.0,0.017376358
536.0,536.0,0.029420089
537.0,537.0,0.0300211
538.0,538.0,0.018813318
539.0,539.0,0.061411228
540.0,540.0,0.021783154
541.0,541.0,0.010568889
542.0,542.0,0.010697367
543.0,543.0,0.013219358
544.0,544.0,0.0060306075
545.0,545.0,0.026636668
546.0,546.0,0.0065442924
547.0,547.0,0.008717468
548.0,548.0,0.0026401812
549.0,549.0,0.023548828
550.0,550.0,0.005044622
551.0,551.0,0.024309345
552.0,552.0,0.010207152
553.0,553.0,0.0065949946
554.0,554.0,0.0074717943
555.0,555.0,0.010213762
556.0,556.0,0.0027210698
557.0,557.0,0.00830486
558.0,558.0,0.009014795
559.0,559.0,0.017673971
560.0,560.0,0.0055151866
561.0,561.0,0.0029384533
562.0,562.0,0.0046598213
563.0,563.0,0.0054523307
564.0,564.0,0.012191216
565.0,565.0,0.0053633726
566.0,566.0,0.0073582116
567.0,567.0,0.010289344
568.0,568.0,0.0066921683
569.0,569.0,0.0065109003
570.0,570.0,0.007555199
571.0,571.0,0.0037850768
572.0,572.0,0.0075888005
573.0,573.0,0.008144283
574.0,574.0,0.011002859
575.0,575.0,0.0064937235
576.0,576.0,0.010839516
577.0,577.0,0.0083207395
578.0,578.0,0.017866414
579.0,579.0,0.009893768
580.0,580.0,0.0023375857
581.0,581.0,0.018350381
582.0,582.0,0.009925079
583.0,583.0,0.013281119
584.0,584.0,0.018611645
585.0,585.0,0.007820487
586.0,586.0,0.017602248
587.0,587.0,0.010964324
588.0,588.0,0.036473192
589.0,589.0,0.015363134
590.0,590.0,0.009977729
591.0,591.0,0.010520143
592.0,592.0,0.003696815
593.0,593.0,0.012890141
594.0,594.0,0.010409237
595.0,595.0,0.00228549
596.0,596.0,0.0033958037
597.0,597.0,0.008992666
598.0,598.0,0.01694271
599.0,599.0,0.013664091
600.0,600.0,0.0073220083
601.0,601.0,0.016951533
602.0,602.0,0.014695669
603.0,603.0,0.01756145
604.0,604.0,0.00558375
605.0,605.0,0.010865982
606.0,606.0,0.0073415893
607.0,607.0,0.0077416967
608.0,608.0,0.0035439415
609.0,609.0,0.013320193
610.0,610.0,0.022453194
611.0,611.0,0.0065253912
612.0,612.0,0.0023042453
613.0,613.0,0.0038792642
614.0,614.0,0.014106075
615.0,615.0,0.009019181
616.0,616.0,0.047905076
617.0,617.0,0.0383773
618.0,618.0,0.055268474
619.0,619.0,0.13515589
620.0,620.0,0.03346726
621.0,621.0,0.043060724
622.0,622.0,0.035892677
623.0,623.0,0.034539364
624.0,624.0,0.020327114
625.0,625.0,0.048860747
626.0,626.0,0.041000422
627.0,627.0,0.0657147
628.0,628.0,0.07079562
629.0,629.0,0.029182352
630.0,630.0,0.08358591
631.0,631.0,0.024365295
632.0,632.0,0.0707277
633.0,633.0,0.066082954
634.0,634.0,0.029219998
635.0,635.0,0.057199217
636.0,636.0,0.04328345
637.0,637.0,0.12440971
638.0,638.0,0.082922615
639.0,639.0,0.0561724
640.0,640.0,0.0412691
641.0,641.0,0.08300988
642.0,642.0,0.055716127
643.0,643.0,0.020933812
644.0,644.0,0.057052795
645.0,645.0,0.07291836
646.0,646.0,0.052446134
647.0,647.0,0.060850233
648.0,648.0,0.026321625
649.0,649.0,0.029986365
650.0,650.0,0.06252346
651.0,651.0,0.059828527
652.0,652.0,0.10802854
653.0,653.0,0.010866021
654.0,654.0,0.08380948
655.0,655.0,0.041219372
656.0,656.0,0.03991436
657.0,657.0,0.033159923
