Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.254E-3,21.563871374,0.259983422,0.069264069,0.182782498,0
2.2957E-3,21.793441587,0.264093924,0.068398268,0.182934231,0
2.30639E-3,22.024080417,0.265143627,0.067532468,0.184272236,0
2.33549E-3,22.257629642,0.267994919,0.066666667,0.185279188,0
2.41525E-3,22.738458994,0.275751958,0.064935065,0.187762083,0
2.44887E-3,22.983345502,0.278996882,0.064069264,0.187844847,0
2.48249E-3,23.231594661,0.282228166,0.063203463,0.190589826,0
2.61475E-3,23.493069166,0.294796982,0.062337662,0.190589826,0
2.69774E-3,23.762843168,0.302571835,0.061471861,0.191431251,0
2.76467E-3,24.039310536,0.308779603,0.060606061,0.192548554,0
2.78857E-3,24.318167551,0.310982472,0.05974026,0.192686493,0
2.81826E-3,24.59999351,0.313709582,0.058874459,0.193500331,0
2.85393E-3,24.885386964,0.316972216,0.058008658,0.194341757,0
2.87715E-3,25.173101568,0.319086678,0.057142857,0.194810748,0
2.95304E-3,25.468405145,0.325954307,0.056277056,0.200038623,0
3.03086E-3,25.771491083,0.332925012,0.055411255,0.200273119,0
3.1689E-3,26.088381257,0.345112677,0.054545455,0.201542154,0
3.18945E-3,26.407325768,0.346907303,0.053679654,0.202300817,0
3.20767E-3,26.728092499,0.34849504,0.052813853,0.202300817,0
3.35303E-3,27.063395812,0.361023618,0.051948052,0.2025629,0
3.43171E-3,27.406567165,0.367704018,0.051082251,0.202852571,0
3.43553E-3,27.750120407,0.368026481,0.05021645,0.208508056,0
3.61443E-3,28.111563808,0.382949805,0.049350649,0.227047009,0
3.75994E-3,28.487558149,0.394827417,0.048484848,0.233185279,0
3.79709E-3,28.867266728,0.397822462,0.047619048,0.233309424,0
3.79867E-3,29.247133478,0.397949678,0.046753247,0.23433017,0
3.8514E-3,29.632273053,0.402175186,0.045887446,0.244399691,0
3.98069E-3,30.030342081,0.412411428,0.045021645,0.24678603,0
3.98831E-3,30.429173187,0.413009267,0.044155844,0.25631759,0
4.06294E-3,30.835467316,0.418831833,0.043290043,0.259807438,0
4.07463E-3,31.242930031,0.419738306,0.042424242,0.261214412,0
4.27463E-3,31.670393314,0.435035409,0.041558442,0.264000772,0
4.37024E-3,32.107417441,0.442204739,0.040692641,0.264649084,0
4.59668E-3,32.567085501,0.458823803,0.03982684,0.264662878,0
4.68714E-3,33.035799725,0.465323801,0.038961039,0.274759987,0
4.77198E-3,33.512998166,0.471349055,0.038095238,0.275684176,0
4.84139E-3,33.997136904,0.476227338,0.037229437,0.280760318,0
4.92538E-3,34.489675067,0.482071062,0.036363636,0.28972633,0
4.99569E-3,34.989244392,0.486912683,0.035497835,0.293740344,0
5.24653E-3,35.513897889,0.503819694,0.034632035,0.293892077,0
5.30613E-3,36.044510528,0.507753631,0.033766234,0.300857978,0
5.40538E-3,36.585048951,0.514237031,0.032900433,0.306168616,0
5.9702E-3,37.182069449,0.549537974,0.032034632,0.311851688,0
6.22783E-3,37.804852644,0.564776033,0.031168831,0.315424299,0
6.30792E-3,38.435644272,0.569406991,0.03030303,0.327093909,0
6.45163E-3,39.080807752,0.577594448,0.029437229,0.347743324,0
6.8031E-3,39.761118081,0.596967259,0.028571429,0.351343522,0
7.16415E-3,40.477533056,0.615943248,0.027705628,0.353895387,0
7.88568E-3,41.266100906,0.65123067,0.026839827,0.356254138,0
8.38501E-3,42.104601674,0.673734355,0.025974026,0.360199183,0
8.72354E-3,42.976955603,0.688159479,0.025108225,0.360764732,0
8.79468E-3,43.856423801,0.69110887,0.024242424,0.374199956,0
8.82845E-3,44.739268424,0.69249887,0.023376623,0.377317369,0
9.6757E-3,45.706838111,0.725402705,0.022510823,0.380696866,0
1.00316E-2,46.709995852,0.738150942,0.021645022,0.380972743,0
1.01118E-2,47.721170963,0.740940214,0.020779221,0.381827963,0
1.01742E-2,48.738593037,0.743092944,0.01991342,0.395552858,0
1.07031E-2,49.808903732,0.760616376,0.019047619,0.418133414,0
1.0821E-2,50.890999684,0.764355337,0.018181818,0.431472081,0
1.1107E-2,52.001698607,0.77318878,0.017316017,0.449873096,0
1.14082E-2,53.142520755,0.782133962,0.016450216,0.455694107,0
1.16606E-2,54.308578307,0.789355538,0.015584416,0.461239241,0
1.18092E-2,55.489495947,0.793495531,0.014718615,0.462356544,0
1.26762E-2,56.757114636,0.816078419,0.013852814,0.468177555,0
1.34652E-2,58.103633139,0.834475777,0.012987013,0.498193004,0
1.35341E-2,59.457043326,0.835992551,0.012121212,0.50728316,0
1.43125E-2,60.888297311,0.852189579,0.011255411,0.517090598,0
1.52651E-2,62.414807912,0.869849734,0.01038961,0.545671485,0
1.62644E-2,64.041248914,0.886113113,0.00952381,0.557741117,0
1.71035E-2,65.751595177,0.898188029,0.008658009,0.568169278,0
2.09517E-2,67.846762458,0.939108373,0.007792208,0.577080115,0
2.29927E-2,70.146028048,0.953638588,0.006926407,0.586418561,0
2.30777E-2,72.453798533,0.954162299,0.006060606,0.607881814,0
2.88824E-2,75.342038244,0.97889027,0.005194805,0.616365041,0
2.96583E-2,78.307872842,0.980968695,0.004329004,0.658091481,0
3.71787E-2,82.025738931,0.99303049,0.003463203,0.69010704,0
4.42982E-2,86.455562256,0.997307327,0.002597403,0.752620834,0
4.77573E-2,91.231296885,0.998303654,0.001731602,0.80678934,0
8.7687E-2,100,0.999991813,0.000865801,0.892959612,0
8.7687E-2,100,0.999991813,0.000865801,1,0
